case_id,name,year,court,key_finding,description,outcome
392,Insurance Scam (State vs F),2018,Delhi Sessions Court,The accused was convicted for submitting fake health insurance claims,The accused forged medical documents and billed a health insurance company for non-existent treatments,win
393,Financial Fraud Case (CBI vs G),2022,Allahabad High Court,The accused was found guilty of defrauding public sector banks through fake companies,The accused used fake companies and documents to siphon off funds from public sector banks,win
394,Insurance Fraud (State vs H),2020,Kolkata High Court,The court dismissed the case due to lack of conclusive evidence,The accused was accused of filing a fake life insurance claim for a deceased relative but failed to prove the death was fraudulent,lose
395,Burglary Case (State vs Abhiram),2017,Mumbai Sessions Court,The accused was found guilty of breaking into a house and stealing valuables,The accused broke into a residence at night and stole jewelry and cash from the property,win
396,Human Trafficking (State vs Binu),2019,Delhi High Court,The accused was convicted for trafficking women for prostitution,The accused was running a human trafficking ring to exploit women for commercial sexual exploitation,win
397,Burglary Case (State vs Chandran),2020,Chennai Sessions Court,The accused was acquitted due to lack of evidence,The accused was charged with breaking into a store or burglary and stealing goods but there was insufficient evidence to prove their involvement,lose
398,Human Trafficking (State vs Darshini),2021,Kolkata High Court,The court found the accused guilty of trafficking minors for forced labor,The accused trafficked children from rural areas and forced them into bonded labor in urban factories,win
399,Burglary Case (State vs E),2022,Hyderabad High Court,The accused was convicted of breaking into a commercial establishment or burglary and stealing electronics,The accused entered a store after hours and stole expensive electronic devices,lose
400,Human Trafficking (State vs Freddy),2018,Bangalore Sessions Court,The accused was acquitted for lack of concrete evidence linking them to the trafficking ring,The accused was allegedly involved in trafficking women for domestic work but no direct evidence was found,lose
401,Burglary Case (State vs Gopan),2019,Pune District Court,The accused was found guilty of breaking into a house and committing theft,The accused broke into a house ransacked it and stole electronics and money,lose
402,Human Trafficking (State vs Hari),2020,Delhi Special Court,The court convicted the accused for trafficking people for forced labor in the construction industry,The accused recruited people under false pretenses and subjected them to forced labor in hazardous construction sites,win
403,Indira Gandhi v. Raj Narain,1975,Supreme Court,The Supreme Court upheld the 39th Constitutional Amendment and ruled it was not beyond the scope of Parliament's power,The case focused on the validity of the 39th Amendment that protected the election of the Prime Minister from judicial review,win
404,Minerva Mills Ltd. v. Union of India,1980,Supreme Court,The court struck down parts of the 42nd Amendment as it violated the basic structure of the Constitution,The case was a landmark decision on the power of the Parliament to amend the Constitution and the limits of such power,win
405,Re: The Kerala Education Bill,1958,Supreme Court,The Supreme Court ruled that the Kerala Education Bill violated the right to property under the Constitution,The case dealt with the amendment of the Constitution regarding property rights and the control of education in Kerala,win
406,Golaknath v. State of Punjab,1967,Supreme Court,The court ruled that fundamental rights cannot be amended by Parliament,The case arose when the Parliament attempted to amend the Constitution to limit the right to property,win
407,Shankari Prasad v. Union of India,1951,Supreme Court,The Supreme Court upheld Parliament's power to amend or change any part of the Constitution including fundamental rights,The case dealt with the validity of the First Amendment to the Constitution which was challenged as it curtailed the right to property,win
408,National Judicial Appointments Commission v. Union of India,2015,Supreme Court,The Supreme Court struck down the 99th Amendment Act and the National Judicial Appointments Commission as unconstitutional,The case questioned the amendment to bring a new body for judicial appointments and its potential interference with judicial independence,win
409,Jaipur Jewellery Heist,2008,Rajasthan High Court,Large-scale Jewelry Theft,Sophisticated robbery of multiple jewelry stores in Jaipur,win
410,Kolkata Museum Theft,1991,Calcutta High Court,Rare Artifact Robbery,Theft of valuable artifacts from a prominent museum,lose
411,Delhi Bank Robbery,2005,Delhi High Court,Armed Bank Heist,Armed robbery of a commercial bank in central Delhi,win
412,Mumbai Antique Smuggling Ring,2012,Mumbai High Court,Organized Crime Robbery,Large-scale theft and smuggling of historical artifacts,win
413,Chennai Gold Smuggling Case,2015,Madras High Court,Precious Metal Theft,Sophisticated gold robbery and smuggling operation,lose
414,Bangalore Tech Company Robbery,2010,Karnataka High Court,Corporate Theft,Insider-led robbery of high-value technological equipment,lose
415,Hyderabad Bullion Heist,2013,Andhra Pradesh High Court,Precious Metal Theft,Large-scale robbery of gold and silver bullion,lose
416,Punjab National Bank Fraud,2018,Punjab and Haryana High Court,Financial Fraud,Massive financial fraud involving bank officials,win
417,Kerala Temple Treasure Robbery,2007,Kerala High Court,Religious Site Theft,Robbery of ancient temple treasures,lose
418,Rajasthan Desert Dacoity,1990,Rajasthan High Court,Organized Dacoity,Large-scale organized robbery in desert regions,win
419,Mumbai Jewel Thieves Case,2016,Bombay High Court,Organized Robbery Network,Sophisticated jewelry theft ring operating across multiple cities,win
420,Delhi Airport Cargo Theft,2014,Delhi High Court,Cargo Robbery,Large-scale theft from airport cargo facilities,lose
421,Bhopal Gas Tragedy,1984,Supreme Court of India,Industrial Disaster,Catastrophic gas leak at Union Carbide pesticide plant,win
422,Uphaar Cinema Fire,1997,Delhi High Court,Mass Casualty Event,Fatal fire in Delhi cinema hall due to safety violations,win
423,Godhra Train Burning,2002,Gujarat High Court,Mass Transportation Accident,Burning of Sabarmati Express train,lose
424,Mumbai Stampede,2017,Bombay High Court,Crowd Management Failure,Fatal stampede at Elphinstone Road railway station,lose
425,Kanpur Factory Boiler Explosion,2017,Allahabad High Court,Industrial Accident,Massive boiler explosion killing multiple workers,win
426,Gorakhpur Hospital Tragedy,2017,Uttar Pradesh High Court,Medical Negligence,Mass child deaths due to oxygen supply failure,lose
427,Kerala Helicopter Crash,2021,Kerala High Court,Military Aviation Accident,Crash killing Chief of Defence Staff and others,lose
428,Chennai Flyover Collapse,2021,Madras High Court,Infrastructure Failure,Major bridge collapse causing multiple fatalities,win
429,Uttarakhand Bus Accident,2018,Uttarakhand High Court,Road Transport Accident,Massive bus fall into gorge in mountain region,lose
430,Delhi Sealing Drive Collapse,2010,Delhi High Court,Urban Infrastructure Failure,Building collapse during municipal sealing drive,win
431,Tamil Nadu Bus-Truck Collision,2016,Madras High Court,Road Transport Accident,Massive collision causing multiple fatalities,lose
432,Vizag Gas Leak,2020,Andhra Pradesh High Court,Industrial Chemical Accident,Styrene gas leak causing mass evacuation,win
433,Nathulal v. Phoolchand,1969,Supreme Court,A lease must be terminated through proper notice as per Section 106,A dispute over tenancy rights where the landlord failed to provide proper eviction notice,win
434,Krishna Murari v. Swami Nath,2005,Allahabad High Court,A tenant cannot be evicted without serving a valid legal notice,The landlord attempted eviction without a legal notice under Section 106,lose
435,K.K. Verma v. Union of India,1954,Supreme Court,Proper notice is mandatory before eviction,A case highlighting the importance of valid notice before terminating tenancy,win
436,S. Radhakrishnan v. Neelamegam,2019,Madras High Court,A defective eviction notice is not valid under Section 106,The landlord issued an incomplete notice making the eviction unlawful,lose
437,Majati Subbarao v. P.V.K.Krishna Rao,1989,Supreme Court,Tenancy termination requires proper statutory notice,The court ruled that informal agreements cannot override statutory eviction notice requirements,win
