section_id,law_name,section_number,title,text
458,Indian penal code,398,Attempt to commit robbery or dacoity when armed with deadly weapon,Provides punishment for attempting to commit robbery or dacoity while being armed with a deadly weapon.
459,Indian penal code,399,Making preparation to commit dacoity,Defines the act of preparing to commit dacoity which involves being armed with weapons or forming a group to commit the crime.
460,Indian penal code,400,Punishment for belonging to gang of dacoits,Specifies the punishment for belonging to a gang of dacoits which may include imprisonment for a term of up to 10 years and a fine.
461,Indian penal code,401,Punishment for belonging to gang of thieves,Specifies the punishment for belonging to a gang of thieves which may also involve imprisonment for a term of up to 7 years and a fine.
462,Indian penal code,402,Assembling for purpose of committing dacoity,Defines assembling for the purpose of committing dacoity which is an offense even if the dacoity is not successfully carried out and provides punishment for this act.
463,Indian penal code,403,Dishonest misappropriation of property,Defines the act of dishonestly misappropriating property that is not one's own.
464,Indian penal code,404,Dishonest misappropriation of property possessed by deceased person at the time of his death,Specifies the offense of misappropriating property belonging to a deceased person.
465,Indian penal code,405,Criminal breach of trust,Defines criminal breach of trust as the violation of trust in managing or controlling someone else's property.
466,Indian penal code,406,Punishment for criminal breach of trust,Specifies the punishment for criminal breach of trust including imprisonment and/or a fine.
467,Indian penal code,407,"Criminal breach of trust by carrier, etc.",Defines criminal breach of trust when committed by a carrier warehouseman or wholesaler.
468,Indian penal code,408,Criminal breach of trust by clerk or servant,Specifies the criminal breach of trust when committed by a clerk or servant.
469,Indian penal code,409,"Criminal breach of trust by public servant or by banker, merchant, or agent",Defines criminal breach of trust by a public servant banker merchant or agent.
470,Indian penal code,410,Stolen property,Defines stolen property as property that has been unlawfully taken without consent.
471,Indian penal code,411,Dishonestly receiving stolen property,Defines the offense of dishonestly receiving stolen property knowing it to be stolen.
472,Indian penal code,412,Dishonestly receiving property stolen in the commission of a dacoity,Specifies the offense of receiving property that has been stolen during a dacoity.
473,Indian penal code,413,Habitually dealing in stolen property,Defines the offense of habitually dealing in stolen property which is a more serious crime.
474,Indian penal code,414,Assisting in concealment of stolen property,Specifies the crime of helping conceal stolen property or assisting someone involved in the crime.
475,Indian penal code,415,Cheating,Defines cheating as intentionally deceiving someone to gain a benefit or cause harm.
476,Indian penal code,416,Cheating by personation,Defines cheating by personation which involves deceiving someone by pretending to be someone else.
477,Indian penal code,417,Punishment for cheating,Specifies the punishment for cheating which may include imprisonment and/or fines.
478,Indian penal code,418,Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect,Defines cheating committed by a person who is responsible for protecting someone's interest but knowingly causes them harm.
479,Indian penal code,419,Punishment for cheating by personation,Specifies the punishment for cheating by personation which includes imprisonment and/or fines.
480,Indian penal code,420,Cheating and dishonestly inducing delivery of property,Defines cheating and the act of dishonestly inducing the delivery of property from someone.
481,Indian penal code,421,Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors,Defines the fraudulent removal or concealment of property to prevent creditors from accessing it.
482,Indian penal code,422,Dishonestly or fraudulently preventing debt being available for creditors,Specifies the act of fraudulently preventing a debt from being available to creditors.
483,Indian penal code,423,Dishonest or fraudulent execution of deed of transfer containing false statement of consideration,Defines the crime of fraudulent execution of a deed with false statements regarding consideration.
484,Indian penal code,424,Dishonest or fraudulent removal or concealment of property,Specifies the offense of dishonestly or fraudulently removing or concealing property with ill intent.
485,Indian penal code,425,Mischief,Defines mischief as causing damage to property without lawful excuse or authority.
486,Indian penal code,426,Punishment for mischief,Specifies the punishment for mischief which can include imprisonment and/or a fine.
487,Indian penal code,427,Mischief causing damage to the amount of fifty rupees,Defines the offense of mischief causing damage worth at least 50 rupees.
488,Indian penal code,428,Mischief by killing or maiming animal of the value of ten rupees,Specifies the offense of killing or maiming an animal worth at least 10 rupees.
489,Indian penal code,429,"Mischief by killing or maiming cattle, etc., of any value or any animal of the value of fifty rupees",Defines mischief caused by killing or maiming cattle or any animal worth at least 50 rupees.
490,Indian penal code,430,Mischief by injury to works of irrigation or by wrongfully diverting water,Specifies mischief caused by injuring irrigation works or wrongfully diverting water.
491,Indian penal code,431,"Mischief by injury to public road, bridge, river or channel",Defines mischief caused by damaging a public road bridge river or channel.
492,Indian penal code,432,Mischief by causing inundation or obstruction to public drainage attended with damage,Specifies mischief causing flooding or obstruction to public drainage leading to damage.
493,Indian penal code,433,"Mischief by destroying, moving or rendering less useful a light-house or sea-mark",Defines the offense of mischief involving a lighthouse or sea-mark that affects navigation.
494,Indian penal code,434,"Mischief by destroying or moving, etc., a land-mark fixed by public authority",Specifies mischief caused by destroying or moving a landmark set by public authority.
495,Indian penal code,435,Mischief by fire or explosive substance with intent to cause damage to amount of one hundred or (in case of agricultural produce) ten rupees,Defines mischief caused by fire or explosive substance with intent to damage property worth at least 100 rupees.
496,Indian penal code,436,"Mischief by fire or explosive substance with intent to destroy house, etc.",Specifies mischief by fire or explosive substances with the intent to destroy a house or similar property.
497,Indian penal code,437,Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden,Defines mischief intended to destroy or render unsafe a decked vessel or one over 20 tons.
498,Indian penal code,438,Punishment for the mischief described in section 437 committed by fire or explosive substance,Specifies the punishment for mischief described in Section 437 if committed using fire or explosives.
499,Indian penal code,439,"Punishment for intentionally running vessel aground, or ashore with intent to commit theft, etc.",Defines the punishment for intentionally running a vessel aground to commit theft or other crimes.
500,Indian penal code,440,Mischief committed after preparation made for causing death or hurt,Specifies mischief committed after preparation for causing death or hurt making the offense more severe.
501,Indian penal code,441,Criminal trespass,Defines criminal trespass as entering or remaining on property without lawful authority or consent.
502,Indian penal code,442,House-trespass,Defines house-trespass as entering a building or its enclosure with the intent to commit an offense.
503,Indian penal code,443,Lurking house-trespass,Defines lurking house-trespass as secretly entering a house or its enclosure with the intent to commit an offense.
504,Indian penal code,444,Lurking house-trespass by night,Specifies the offense of lurking house-trespass when committed at night enhancing the severity of the crime.
505,Indian penal code,445,House-breaking,Defines house-breaking as breaking into a house or a building with the intent to commit an offense.
506,Indian penal code,446,House-breaking by night,Specifies house-breaking when it occurs by night making the offense more serious.
507,Indian penal code,447,Punishment for criminal trespass,Specifies the punishment for criminal trespass which may include imprisonment or fines.
508,Indian penal code,448,Punishment for house-trespass,Specifies the punishment for house-trespass with imprisonment or fines depending on the circumstances.
509,Indian penal code,449,House-trespass in order to commit offense punishable with death,Defines house-trespass committed with the intent to commit an offense punishable with death (e.g. murder).
510,Indian penal code,450,House-trespass in order to commit offense punishable with imprisonment for life,Defines house-trespass committed with the intent to commit an offense punishable with life imprisonment (e.g. rape).
511,Indian penal code,451,House-trespass in order to commit offense punishable with imprisonment,Defines house-trespass committed with the intent to commit any other offense punishable with imprisonment (e.g. theft).
512,Indian penal code,452,"House-trespass after preparation for hurt, assault or wrongful restraint",Defines house-trespass where the offender has made preparation to cause hurt assault or wrongful restraint.
513,Indian penal code,453,Punishment for lurking house-trespass or house-breaking,Specifies the punishment for lurking house-trespass or house-breaking.
514,Indian penal code,454,Lurking house-trespass or house-breaking or burglary in order to commit offense punishable with imprisonment,Defines lurking house-trespass or house-breaking or burglary committed with the intent to commit an offense punishable with imprisonment.
515,Indian penal code,455,"Lurking house-trespass or house-breaking after preparation for hurt, assault or wrongful restraint",Specifies lurking house-trespass or house-breaking when the offender has made preparations for hurt assault or wrongful restraint.
516,Indian penal code,456,Punishment for lurking house-trespass or house-breaking by night,Defines the punishment for lurking house-trespass or house-breaking committed during the night.
517,Indian penal code,457,Lurking house-trespass or house-breaking by night or burglary in order to commit offense punishable with imprisonment,Defines lurking house-trespass or house-breaking by night with the intent to commit an offense punishable with imprisonment.
518,Indian penal code,458,"Lurking house-trespass or house-breaking by night or burglary after preparation for hurt, assault, or wrongful restraint",Specifies lurking house-trespass or house-breaking by night after making preparations to commit hurt assault or wrongful restraint.
519,Indian penal code,459,Grievous hurt caused whilst committing lurking house-trespass or house-breaking,Defines grievous hurt caused during the commission of lurking house-trespass or house-breaking.
520,Indian penal code,460,All persons jointly concerned in lurking house-trespass or house-breaking by night punishable where death or grievous hurt caused by one of them,Specifies joint responsibility when death or grievous hurt is caused by one of the persons involved in lurking house-trespass or house-breaking.
521,Indian penal code,461,Dishonestly breaking open receptacle containing property,Defines the offense of dishonestly breaking open a receptacle containing property.
522,Indian penal code,462,Punishment for same offence when committed by person entrusted with custody,Specifies the punishment for dishonestly breaking open a receptacle when committed by a person entrusted with custody.
523,Indian penal code,463,Forgery,Defines forgery as making a false document or false electronic record with the intent to deceive.
524,Indian penal code,464,Making a false document,Defines making a false document as one which is intended to deceive others.
525,Indian penal code,465,Punishment for forgery,Specifies the punishment for the offense of forgery.
526,Indian penal code,466,"Forgery of record of Court or of public register, etc.",Defines forgery involving court records or public registers making such documents false.
527,Indian penal code,467,"Forgery of valuable security, will, etc.",Defines forgery of valuable securities wills and similar important documents.
528,Indian penal code,468,Forgery for purpose of cheating,Specifies the offense of forgery with the intent to cheat others.
529,Indian penal code,469,Forgery for purpose of harming reputation,Specifies the offense of forgery with the intent to harm someone's reputation.
530,Indian penal code,470,Forged document,Defines a forged document as any document that is false and created with intent to deceive.
531,Indian penal code,471,Using as genuine a forged document or electronic record,Defines the offense of using a forged document or electronic record as though it were genuine.
532,Indian penal code,472,"Making or possessing counterfeit seal, etc., with intent to commit forgery punishable under section 467",Defines the offense of making or possessing counterfeit seals or similar devices with the intent to commit forgery.
533,Indian penal code,473,"Making or possessing counterfeit seal, etc., with intent to commit forgery punishable otherwise",Defines the offense of making or possessing counterfeit seals with the intent to commit forgery for other purposes.
534,Indian penal code,474,"Having possession of document described in sections 466 or 467, knowing it to be forged and intending to use it as genuine",Specifies the offense of possessing forged documents under sections 466 or 467 with intent to use them as genuine.
535,Indian penal code,475,"Counterfeiting device or mark used for authenticating documents described in section 467, or possessing counterfeit marked material",Defines the offense of counterfeiting devices or marks used for authenticating documents described in section 467.
536,Indian penal code,476,"Counterfeiting device or mark used for authenticating documents other than those described in section 467, or possessing counterfeit marked material",Defines the offense of counterfeiting devices or marks used for authenticating documents other than those in section 467.
537,Indian penal code,477,"Fraudulent cancellation, destruction, etc., of will, authority to adopt, or valuable security",Specifies fraudulent cancellation or destruction of wills authority to adopt or valuable securities.
538,Indian penal code,477A,Falsification of accounts,Defines the offense of falsifying financial or business accounts.
539,Indian penal code,479,Property mark,Defines property marks as symbols used to indicate ownership or origin of goods.
540,Indian penal code,481,Using a false property mark,Defines the offense of using a false property mark to misrepresent ownership or origin.
541,Indian penal code,482,Punishment for using a false property mark,Specifies the punishment for using a false property mark.
542,Indian penal code,483,Counterfeiting a property mark used by another,Defines the offense of counterfeiting a property mark that is used by someone else.
543,Indian penal code,484,Counterfeiting a mark used by a public servant,Specifies the offense of counterfeiting a mark used by a public servant.
544,Indian penal code,485,Making or possession of any instrument for counterfeiting a property mark,Defines the offense of making or possessing instruments to counterfeit a property mark.
545,Indian penal code,486,Selling goods marked with a counterfeit property mark,Specifies the offense of selling goods marked with a counterfeit property mark.
546,Indian penal code,487,Making a false mark upon any receptacle containing goods,Defines the offense of making a false mark on a receptacle containing goods.
547,Indian penal code,488,Punishment for making use of any such false mark,Specifies the punishment for making use of a false property mark.
548,Indian penal code,489,Tampering with property mark with intent to cause injury,Defines the offense of tampering with a property mark with the intent to cause injury.
549,Indian penal code,489A,Counterfeiting currency-notes or bank-notes,Defines counterfeiting currency notes or banknotes as creating fake currency with intent to deceive.
550,Indian penal code,489B,"Using as genuine, forged or counterfeit currency-notes or bank-notes",Specifies the offense of using forged or counterfeit currency as though it were genuine.
551,Indian penal code,489C,Possession of forged or counterfeit currency notes or bank-notes,Defines the offense of possessing forged or counterfeit currency or bank-notes.
552,Indian penal code,489D,Making or possessing instruments or materials for forging or counterfeiting currency-notes or bank-notes,Specifies the offense of making or possessing materials for counterfeiting currency or bank-notes.
553,Indian penal code,489E,Making or using documents resembling currency-notes or bank-notes,Defines the offense of making or using documents that resemble currency-notes or bank-notes.
554,Indian penal code,491,Breach of contract to attend on and supply wants of helpless person,Defines the offense of breaching a contract to attend to and supply the needs of a helpless person.
555,Indian penal code,493,Cohabitation caused by a man deceitfully inducing a belief of lawful marriage,Defines the offense where a man deceitfully causes a woman to believe that she is legally married to him resulting in cohabitation.
556,Indian penal code,494,Marrying again during lifetime of husband or wife,Specifies the offense of marrying another person while one�s spouse is still alive which is a form of bigamy.
557,Indian penal code,495,Same offence with concealment of former marriage from person with whom subsequent marriage is contracted,Defines the offense when someone marries again while their previous spouse is alive concealing the earlier marriage from the second spouse.
558,Indian penal code,496,Marriage ceremony fraudulently gone through without lawful marriage,Defines the offense where a person goes through a marriage ceremony with another without a legal marriage taking place essentially deceiving the person.
559,Indian penal code,497,Adultery,Defines the offense of adultery where a man has sexual relations with a married woman without the consent of her husband.
560,Indian penal code,498,Enticing or taking away or detaining with criminal intent a married woman,Defines the offense of enticing taking away or detaining a married woman with the intent of committing a criminal act typically involving criminal intent like adultery or kidnapping.
561,Indian penal code,498A,Husband or relative of husband of a woman subjecting her to cruelty,Defines the offense where a husband or relative of the husband subjects a woman to cruelty or domestic violence which includes mental or physical abuse harassment or torture or any act that is likely to drive the woman to suicide or cause her harm.
562,Indian penal code,499,Defamation,Defines defamation as an act of intentionally tarnishing the reputation of a person by making or publishing false statements that could harm that person's reputation.
563,Indian penal code,500,Punishment for defamation,Specifies the punishment for the offense of defamation which may include imprisonment up to two years or a fine or both.
564,Indian penal code,501,Printing or engraving matter known to be defamatory,Defines the offense of printing or engraving defamatory matter with the knowledge that the material is intended to damage the reputation of a person.
565,Indian penal code,502,Sale of printed or engraved substance containing defamatory matter,Defines the offense of selling printed or engraved substances (such as books newspapers etc.) that contain defamatory material thereby further distributing harm to the reputation of a person.
566,Indian penal code,503,Criminal intimidation,Defines criminal intimidation as an act of threatening someone with injury to their person reputation or property with intent to cause alarm or fear of injury.
567,Indian penal code,504,Intentional insult with intent to provoke breach of the peace,Defines the offense of intentional insult that causes provocation with the intention of provoking a breach of the peace.
568,Indian penal code,505,Statements conducing to public mischief,Specifies offenses related to making statements that cause public mischief such as creating fear or alarm in the public or disturbing public tranquility.
569,Indian penal code,505(1),"Statements creating or promoting enmity, hatred or ill-will between classes",Defines the offense of making statements that promote enmity hatred or ill-will between different communities or classes of society.
570,Indian penal code,505(2),"Offence under sub-section (1) committed in place of worship, etc.",Provides a higher penalty for promoting enmity or hatred in sensitive places such as places of worship or religious institutions.
571,Indian penal code,506,Punishment for criminal intimidation,Specifies the punishment for criminal intimidation. If the intimidation involves death or grievous hurt it can result in a longer sentence.
572,Indian penal code,506(2),"If threat be to cause death or grievous hurt, etc.",Enhances the punishment for criminal intimidation when the threat involves causing death or grievous hurt.
573,Indian penal code,507,Criminal intimidation by an anonymous communication,Defines the offense of criminal intimidation carried out through anonymous communication such as letters emails or calls.
574,Indian penal code,508,Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure,Defines an act where a person is intentionally intimidated by inducing them to believe that they will suffer divine displeasure (e.g. using religious threats for coercion).
575,Indian penal code,509,"Word, gesture, or act intended to insult the modesty of a woman",Defines the offense of insulting the modesty of a woman through words gestures or acts that are intended to disrespect or degrade her.
576,Indian penal code,510,Misconduct in public by a drunken person,Defines the offense of misconduct in public places by a drunken person such as being disorderly or causing disturbance due to intoxication.
577,Indian penal code,511,Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment,This section deals with attempts to commit offences that are punishable with imprisonment for life or other imprisonment. It provides a punishment for an attempted crime even if the crime is not completed. The punishment for an attempt is typically half of the punishment prescribed for the completed offence.
578,Constitution of India,Article 368,Power of Parliament to amend the Constitution and procedure therefor,This article grants Parliament the power to amend the Constitution and lays down the procedure for amendment including different types of majorities required for different provisions.
579,Information Technology Act 2000,66,Computer-related Offences,"If any person dishonestly or fraudulently or online scam does any act referred to in this section it shall be punishable with imprisonment of either description for a term which may extend to three years or with a fine which may extend to one lakh rupees or with both."
580,Information Technology Act 2000,66A,Sending Offensive Messages through Communication Service, Any person who sends by means of a computer resource or communication device any information that is grossly offensive or has menacing character shall be punished with imprisonment for a term which may extend to three years and with a fine which may extend to five lakh rupees.
581,Information Technology Act 2000,67,Publishing or Transmitting Obscene Material in Electronic Form,Whoever publishes or transmits or causes to be published or transmitted in the electronic form any material that is lascivious or appeals to the prurient interest or is intended to harm the reputation of any person shall be punishable with imprisonment for a term which may extend to five years and with a fine which may extend to one lakh rupees.
582,Indian Penal Code,354D,Stalking,Any man who follows ar woman and contacts or harrasment via social media or cyberstalking or attempts to contact her to foster personal interaction repeatedly despite a clear indication of disinterest or monitors the woman's use of the internet email or other forms of electronic communication shall be punished with imprisonment of either description for a term which may extend to three years and with a fine.
583,Indian Penal Code,499,Defamation,Whoever by words either spoken or intended to be read or by signs or by visible representations makes or publishes any imputation concerning any person intending to harm or knowing or having reason to believe that such imputation will harm the reputation of such person shall be punished with imprisonment of either description for a term which may extend to two years or with a fine or with both.
584,Indian Penal Code,507,Criminal Intimidation by Anonymous Communication,Whoever commits the offence of criminal intimidation by means of anonymous communication like phishing which is online scam shall be punished with imprisonment for a term which may extend to two years or with a fine or with both.
585,Transfer of Property Act 1882,106,Notice for Termination of Lease,A lease of immovable property can be terminated by giving a 15-day notice for monthly leases and a 6-month notice for yearly leases unless the contract states otherwise.
